Year,India,China,Bangladesh,Thailand,Pakistan,Mexico,World_Total
2000,836500.0,35000.0,175231.0,66421.0,84493.0,35579.0,1233224.0
2001,880000.0,35058.0,174826.0,67367.0,48737.0,35607.0,1241595.0
2002,828600.0,35500.0,169970.0,67685.0,56423.0,35655.0,1193833.0
2003,774300.0,36000.0,169937.0,69058.0,55791.0,35000.0,1140086.0
2004,737500.0,36648.0,162154.0,69452.0,48724.0,35500.0,1089978.0
2005,654900.0,36500.0,154812.0,69596.0,64531.0,36000.0,1016339.0
2006,758000.0,38000.0,142466.0,70388.0,47300.0,36200.0,1092354.0
2007,808170.0,40000.0,141490.0,70605.0,64200.0,37000.0,1161465.0
2008,779050.0,41000.0,94406.0,70984.0,73800.0,35381.0,1094621.0
2009,767230.0,42000.0,89268.0,71305.0,74800.0,34789.0,1079392.0
2010,792100.0,43000.0,87026.0,71803.0,63600.0,34335.0,1091864.0
2011,804792.0,43125.0,104967.0,74709.0,27364.0,33913.0,1088870.0
2012,793590.0,43000.0,97120.0,81084.0,63617.0,32500.0,1110911.0
2013,775000.0,44000.0,93460.0,87793.0,62742.0,32500.0,1095495.0
2014,775000.0,45015.0,89820.0,87176.0,62456.0,32678.0,1092145.0
2015,761000.0,45754.0,92167.0,85645.0,64829.0,32446.0,1081841.0
2016,811140.0,46716.0,101972.0,85244.0,64829.0,32064.0,1141965.0
2017,840000.0,47916.0,103380.0,84865.0,63619.0,31841.0,1171621.0
2018,752000.0,48865.0,101072.0,87231.0,65275.0,31743.0,1086186.0
2019,780000.0,49800.0,96800.0,88945.0,47349.0,31523.0,1094417.0
2020,626000.0,48860.0,96901.0,86927.0,60752.0,31329.0,950769.0
2021,702000.0,49175.0,100137.0,87825.0,46805.0,31034.0,1016976.0
2022,678000.0,49278.0,98324.0,85548.0,58169.0,30690.0,1000009.0
2023,852000.0,49105.0,97361.0,85439.0,47870.0,30507.0,1162282.0
2024,965612.0,49186.0,99066.0,85334.0,49604.0,30744.0,1279546.0
