Year,India,China,Bangladesh,Thailand,Pakistan,Mexico,World_Total
2000,1176.0,6057.1,816.1,2039.6,2066.1,1589.1,13744.000000000002
2001,1214.8,6132.8,806.5,2036.3,1913.5,1597.9,13701.8
2002,1082.4,6197.2,800.1,2084.8,1752.3,1607.3,13524.099999999999
2003,1595.9,6388.9,808.1,2109.0,1727.8,1614.3,14243.999999999998
2004,1607.5,6412.3,855.6,2165.8,1856.9,1605.6,14503.7
2005,1549.2,6575.3,1199.1,2186.4,1904.4,1611.1,15025.5
2006,1628.1,6447.4,1091.0,2217.7,1471.5,1607.7,14463.400000000001
2007,1601.3,6250.0,1088.1,2253.5,1808.4,1621.6,14622.9
2008,1630.0,6146.3,1247.4,2291.2,2543.4,1674.3,15532.6
2009,1567.9,6190.5,1224.8,2320.4,2524.1,1710.6,15538.3
2010,1544.5,6162.8,1256.5,2212.8,2699.7,1741.3,15617.599999999999
2011,1585.9,6442.1,1678.0,2518.3,1728.5,1771.0,15723.8
2012,1643.2,6744.2,1297.4,2659.2,2313.2,1846.2,16503.4
2013,1925.2,6818.2,1091.4,2773.0,2324.7,1846.2,16778.7
2014,1925.2,6826.4,1224.7,3686.7,2236.6,1840.4,17740.0
2015,2109.1,6683.7,1336.8,4065.9,2193.5,1861.0,18250.0
2016,1874.4,6616.0,1277.4,3570.4,2192.9,1883.2,17414.3
2017,2495.2,6597.3,1324.0,3825.6,2243.5,1896.0,18381.6
2018,2857.7,6618.7,1396.8,3890.9,2269.1,1909.4,18942.6
2019,2234.6,6650.2,1544.1,3629.3,2147.0,1926.8,18132.0
2020,2931.3,6622.4,1626.5,3661.1,2329.8,1944.6,19115.7
2021,2918.8,6630.5,4920.1,3721.3,2251.9,1973.4,22416.000000000004
2022,2764.0,6634.5,3814.9,3771.3,2478.3,1988.8,21451.8
2023,3265.3,6629.1,2802.3,3775.4,2289.8,2005.7,20767.600000000002
2024,3013.5,6631.4,3041.5,3796.9,2432.2,1995.2,20910.7
