Year,China,Mexico,Indonesia,Spain,World_Total
2000,503218.0,145427.0,174708.0,23204.0,846557.0
2001,533088.0,146890.0,142556.0,22786.0,845320.0
2002,573000.0,140174.0,150598.0,21964.0,885736.0
2003,602593.0,140693.0,176264.0,22388.0,941938.0
2004,607800.0,82048.0,194588.0,22895.0,907331.0
2005,612757.0,92193.0,187236.0,23672.0,915858.0
2006,632634.0,92292.0,204747.0,23699.0,953372.0
2007,652510.0,87863.0,204048.0,21798.0,966219.0
2008,652296.0,132337.0,232703.0,18861.0,1036197.0
2009,662289.0,140440.0,279452.0,19099.0,1101280.0
2010,682330.0,143979.0,237266.0,18139.0,1081714.0
2011,707086.0,144391.0,239991.0,17739.0,1109207.0
2012,709290.0,136132.0,242523.0,17440.0,1105385.0
2013,712470.0,132910.0,249516.0,18100.0,1112996.0
2014,726621.0,143465.0,263932.0,18513.0,1152531.0
2015,752526.0,148689.0,255716.0,18263.0,1175194.0
2016,730602.0,170135.0,260222.0,19623.0,1180582.0
2017,740106.0,160438.0,310147.0,20498.0,1231189.0
2018,746849.0,156799.0,310365.0,20580.0,1234593.0
2019,756525.0,149577.0,300377.0,21430.0,1227909.0
2020,757984.0,157911.0,314772.0,21750.0,1252417.0
2021,769945.0,147808.0,321923.0,22240.0,1261916.0
2022,780524.0,156932.0,334545.0,22260.0,1294261.0
2023,769350.0,173134.0,338636.0,21670.0,1302790.0
2024,772929.0,156731.0,330218.0,23500.0,1283378.0
