Year,China,Mexico,Indonesia,Spain,World_Total
2000,9436452.0,1734630.0,727747.0,946762.0,12845591.0
2001,9883584.0,1870890.0,580464.0,979151.0,13314089.0
2002,10534871.0,1784540.0,635089.0,1056184.0,14010684.0
2003,11528723.0,1853610.0,1066722.0,1056181.0,15505236.0
2004,12031031.0,1431258.0,1100514.0,1077025.0,15639828.0
2005,12530180.0,1617264.0,1058023.0,1060362.0,16265829.0
2006,13030234.0,1681277.0,1185057.0,1147774.0,17044342.0
2007,14026272.0,1890428.0,1128791.7,1057533.0,18103024.7
2008,14274178.0,2054968.0,1174197.0,918140.0,18421483.0
2009,14520301.0,1941564.0,1424275.0,932191.0,18818331.0
2010,15001503.0,2335562.0,1384184.0,875657.0,19596906.0
2011,15541611.0,2131740.0,1613699.0,921089.0,20208139.0
2012,15623378.0,2379736.0,1742711.0,970296.0,20716121.0
2013,15826586.0,2294400.0,1733214.7,999600.0,20853800.7
2014,16290986.46,2382988.59,1882106.1,1130340.0,21686421.150000002
2015,17207773.93,2389828.87,1915016.0,1102522.0,22615140.8
2016,16441861.8,2737028.11,1961598.0,1175635.0,22316122.91
2017,16781751.0,3296874.66,2359441.0,1277908.0,23715974.66
2018,17053459.09,3379289.13,2542333.0,1275460.0,24250541.22
2019,17346949.97,2717393.53,2588632.56,1402380.0,24055356.06
2020,17451324.04,2818442.96,2772593.76,1472850.0,24515210.759999998
2021,17282405.78,2584143.6,2747018.03,1511560.0,24125127.410000004
2022,17360476.68,3112480.69,3020262.11,1533280.0,25026499.48
2023,17361128.25,3681061.47,3061260.44,1389830.0,25493280.16
2024,17330858.32,3220428.46,3038082.0,1518610.0,25107978.78
