Year,China,Mexico,Indonesia,Spain,World_Total
2000,18752.2,11927.8,4165.5,40801.7,75647.2
2001,18540.2,12736.7,4071.8,42971.6,78320.3
2002,18385.5,12730.9,4217.1,48087.1,83420.6
2003,19131.9,13174.9,6051.8,47176.2,85534.8
2004,19794.4,17444.2,5655.6,47041.9,89936.1
2005,20448.9,17542.2,5650.7,44793.9,88435.70000000001
2006,20596.8,18216.9,5787.9,48431.3,93032.9
2007,21495.9,21515.6,5532.0,48515.1,97058.6
2008,21883.0,15528.3,5045.9,48679.3,91136.5
2009,21924.4,13824.9,5096.7,48808.4,89654.4
2010,21985.7,16221.5,5833.9,48274.8,92315.9
2011,21979.8,14763.7,6724.0,51924.5,95392.0
2012,22026.8,17481.1,7185.8,55636.2,102329.9
2013,22213.7,17262.8,6946.3,55226.5,101649.3
2014,22420.2,16610.2,7131.0,61056.6,107218.0
2015,22866.7,16072.7,7488.8,60369.2,106797.4
2016,22504.5,16087.4,7538.2,59911.1,106041.2
2017,22674.8,20549.2,7607.5,62343.1,113174.6
2018,22833.9,21551.7,8191.4,61975.7,114552.70000000001
2019,22929.8,18167.2,8617.9,65440.0,115154.9
2020,23023.3,17848.3,8808.3,67717.2,117397.09999999999
2021,22446.3,17483.1,8533.1,67965.8,116428.29999999999
2022,22242.1,19833.3,9028.0,68880.5,119983.9
2023,22566.0,21261.3,9040.0,64136.1,117003.4
2024,22422.3,20547.5,9200.2,64621.7,116791.7
