Year,China,United States of America,India,Mexico,Brazil,Japan,World_Total
2000,397150731.67,89734000.0,38667000.0,37546742.0,31910065.0,44792444.0,639800982.6700001
2001,402228144.48,91192000.0,40880000.0,39734940.0,32537491.0,44504088.0,651076663.48
2002,412837864.29,92419000.0,42035000.0,39912768.0,32714742.0,44686424.0,664605798.29
2003,423843120.0,92699000.0,42647000.0,39323172.0,33214158.0,44703372.0,676429822.0
2004,430515540.0,94481000.0,47712000.0,42034230.0,34160802.0,43836680.0,692740252.0
2005,441991262.49,95693000.0,48803000.0,42519123.0,35407995.0,43858000.0,708272380.49
2006,439653705.0,97224000.0,53477000.0,48091302.0,37213600.0,44098696.0,719758303.0
2007,458496794.0,96496000.0,56530000.0,48107493.0,37612068.0,45633292.0,742875647.0
2008,488776071.0,95583000.0,58442000.0,49081515.0,38996286.0,45120225.0,775999097.0
2009,496304359.27,96111000.0,61958400.0,49566321.0,40628691.0,44257542.0,788826313.27
2010,500222580.0,97248000.0,64798200.0,50004115.0,41181346.0,44415323.0,797869564.0
2011,508865074.0,97925000.0,66490740.0,51628460.0,43052337.0,43859628.0,811821239.0
2012,517843088.0,99953000.0,70105000.0,48678853.0,44051532.0,44286720.0,824918193.0
2013,520527734.0,103333000.0,73566205.0,52833014.0,45906567.0,44554874.0,840721394.0
2014,484035990.34,106853000.0,78863360.0,51004916.0,47365316.0,44200604.0,812323186.3399999
2015,491695418.94,102964787.0,82800620.0,52700266.0,47796267.0,44535423.0,822492781.94
2016,493045909.18,108158456.0,87490400.0,54044601.62,48743293.0,45266293.0,836748952.8000001
2017,565776546.46,113592356.0,100064498.0,55057953.0,53456565.79,45954056.0,933901975.25
2018,571534557.66,116592171.0,108554566.0,57059058.44,56193113.42,46423831.0,956357297.5199999
2019,605639167.47,119912870.0,120674171.55,58606052.31,58415033.12,46635283.0,1009882577.4499999
2020,634914587.17,118393184.0,128761319.41,59920868.12,60464907.05,46514249.0,1048969114.7499999
2021,624386452.32,118034746.0,136728000.0,60535767.46,61159736.57,45478505.0,1046323207.3500001
2022,632888797.35,116042457.0,145986973.29,61628301.31,61544252.0,45864737.0,1063955517.95
2023,651890802.89,116154914.1,150624041.17,63016757.6,63185054.27,42875940.0,1087747510.03
2024,656605048.52,114983947.0,155408885.0,64969593.51,68613197.44,43825046.0,1104405717.47
