Year,China,United States of America,India,Mexico,Brazil,Japan,World_Total
2000,196.0,257.0,211.0,251.0,137.0,301.0,1353.0
2001,195.0,256.0,209.0,246.0,137.0,302.0,1345.0
2002,193.0,257.0,208.0,244.0,135.0,306.0,1343.0
2003,198.0,258.0,202.0,242.0,135.0,307.0,1342.0
2004,192.0,261.0,213.0,249.0,138.0,301.0,1354.0
2005,188.0,262.0,215.0,246.0,140.0,306.0,1357.0
2006,182.0,262.0,220.0,251.0,136.0,304.0,1355.0
2007,183.0,263.0,216.0,253.0,137.0,302.0,1354.0
2008,187.0,265.0,215.0,253.0,142.0,299.0,1361.0
2009,186.0,268.0,211.0,255.0,139.0,298.0,1357.0
2010,186.0,269.0,202.0,256.0,137.0,299.0,1349.0
2011,188.0,271.0,205.0,265.0,140.0,301.0,1370.0
2012,186.0,274.0,206.0,248.0,139.0,308.0,1361.0
2013,185.0,275.0,215.0,263.0,140.0,316.0,1394.0
2014,168.0,277.0,230.0,250.0,140.0,312.0,1377.0
2015,161.0,276.0,208.0,254.0,140.0,277.0,1316.0
2016,156.0,279.0,217.0,253.0,140.0,317.0,1362.0
2017,184.0,281.0,239.0,259.0,210.0,319.0,1492.0
2018,184.0,279.0,234.0,265.0,217.0,315.0,1494.0
2019,184.0,283.0,218.0,269.0,223.0,310.0,1487.0
2020,184.0,285.0,218.0,272.0,226.0,292.0,1477.0
2021,184.0,285.0,218.0,272.0,228.0,305.0,1492.0
2022,184.0,289.0,219.0,275.0,226.0,315.0,1508.0
2023,184.0,286.0,219.0,276.0,230.0,315.0,1510.0
2024,184.0,290.0,218.0,277.0,234.0,319.0,1522.0
