Year,Bangladesh,Indonesia,Spain,Mexico,China,United States of America,Italy,India,World,Brazil,Egypt,Pakistan,Japan,Thailand,World_Avg
1961,0.1835,0.051,0.573,0.0435,0.253,0.1555,0.5675,0.035,0.208,0.21000000000000002,0.0725,0.055499999999999994,0.5125,0.078,0.21417857142857138
1962,-0.0345,0.08349999999999999,0.41400000000000003,0.209,0.052500000000000005,0.14049999999999999,0.1815,-0.11249999999999999,0.1205,0.019000000000000003,0.519,0.0755,0.241,0.079,0.142
1963,0.0605,0.023,0.09100000000000001,0.22499999999999998,0.268,0.366,-0.014999999999999986,0.115,0.1925,0.1935,0.506,0.404,0.1515,-0.004500000000000004,0.18403571428571427
1964,0.17049999999999998,0.0765,0.443,-0.0345,0.114,0.012999999999999984,0.2345,0.109,-0.020500000000000004,0.0030000000000000027,0.0015000000000000013,0.003500000000000003,0.3095,0.13949999999999999,0.11160714285714286
1965,0.02149999999999999,-0.02600000000000001,0.10750000000000001,0.07699999999999999,0.163,-0.025999999999999995,-0.04999999999999999,0.0905,-0.020500000000000004,0.067,0.144,0.05399999999999999,-0.08250000000000002,0.041999999999999996,0.04010714285714285
1966,0.27649999999999997,0.08349999999999999,0.403,-0.009500000000000008,0.215,0.047,0.314,0.2845,0.1975,0.126,0.4125,0.1225,0.1885,0.3585,0.21567857142857141
1967,0.015,0.007499999999999993,0.276,0.05899999999999999,-0.016499999999999987,0.192,0.3105,0.023999999999999994,0.03949999999999999,0.1525,-0.15600000000000003,0.0335,0.1965,0.1275,0.09007142857142855
1968,0.008499999999999994,0.048,0.248,-0.099,-0.08099999999999999,0.11399999999999999,0.168,0.0305,0.054,-0.09050000000000001,0.1185,-0.03950000000000001,-0.0685,0.0965,0.03625
1969,0.1295,0.158,0.059,0.204,0.018000000000000002,0.01949999999999999,0.10850000000000001,0.3015,0.0605,0.2725,0.399,0.322,0.158,0.3865,0.1854642857142857
1970,0.109,0.161,0.261,-0.0345,-0.027499999999999997,0.1415,0.081,0.1515,0.1855,0.17099999999999999,0.1445,0.4735,-0.007500000000000007,0.155,0.14035714285714287
1971,-0.1765,-0.010999999999999996,-0.1775,0.0865,0.14250000000000002,-0.05449999999999999,0.0825,-0.119,0.0605,0.035500000000000004,0.0605,0.2895,0.013999999999999985,-0.087,0.010428571428571431
1972,0.09949999999999999,0.041999999999999996,-0.21699999999999997,0.272,0.1315,0.022499999999999992,0.08900000000000001,0.1265,-0.02750000000000001,0.1545,0.177,-0.047000000000000014,0.2935,0.173,0.09210714285714286
1973,0.198,0.21300000000000002,0.114,0.03849999999999999,0.32999999999999996,0.13899999999999998,0.17300000000000001,0.27349999999999997,0.2395,0.3235,0.035500000000000004,0.245,0.3435,0.3305,0.2140357142857143
1974,0.0475,0.010499999999999995,-0.023999999999999994,0.07999999999999999,0.1205,0.1975,0.10200000000000001,0.131,0.0,0.013499999999999998,0.1225,0.10149999999999999,-0.0625,-0.08399999999999999,0.054
1975,0.08249999999999999,0.018499999999999996,0.14850000000000002,-0.038500000000000006,0.263,-0.0325,0.196,-0.037000000000000005,0.1505,0.033,-0.059,-0.10749999999999998,0.20099999999999998,0.1895,0.072
1976,0.07999999999999999,0.0765,0.006500000000000006,-0.11699999999999999,-0.07250000000000001,0.094,-0.0005000000000000004,0.1015,-0.0445,0.015,0.043999999999999984,0.037500000000000006,-0.07400000000000001,-0.11850000000000002,0.0019999999999999957
1977,-0.0005000000000000004,0.125,0.10900000000000001,0.131,0.096,0.348,0.30200000000000005,0.188,0.256,0.23399999999999999,0.11599999999999999,0.3025,0.1025,0.1765,0.17757142857142855
1978,0.01899999999999999,0.1085,0.23850000000000002,0.216,0.2445,0.162,-0.11000000000000001,0.036500000000000005,0.091,0.11800000000000001,0.04150000000000001,0.097,0.2965,0.268,0.1305
1979,0.3725,0.16649999999999998,0.3235,0.096,0.27449999999999997,-0.01100000000000001,0.166,0.269,0.20500000000000002,0.101,0.4755,0.1085,0.41100000000000003,0.42100000000000004,0.24135714285714283
1980,0.195,0.16949999999999998,0.2745,0.3175,0.2525,0.3595,-0.05399999999999999,0.3185,0.27999999999999997,0.252,0.136,0.351,0.077,0.377,0.23614285714285715
1981,0.05349999999999999,0.139,0.358,0.2055,0.236,0.5895,0.015000000000000013,0.154,0.3465,0.19,0.05049999999999999,0.285,-0.137,0.27849999999999997,0.19742857142857145
1982,0.1275,0.0385,0.541,0.40549999999999997,0.3165,-0.01999999999999999,0.4075,0.114,0.128,0.2405,-0.005500000000000005,-0.047500000000000014,0.1585,0.191,0.18539285714285714
1983,0.09999999999999999,0.2495,0.4625,0.123,0.188,0.42700000000000005,0.34450000000000003,0.056499999999999995,0.3315,0.34450000000000003,-0.36100000000000004,-0.0605,0.23349999999999999,0.34550000000000003,0.19889285714285712
1984,0.013499999999999998,-0.023000000000000007,0.10450000000000001,0.05999999999999999,0.05,0.03799999999999999,-0.07,0.064,0.16799999999999998,0.2605,0.0875,0.023999999999999994,-0.123,0.172,0.059000000000000004
1985,0.201,0.097,0.4275,0.1595,0.063,0.1415,0.222,0.2255,0.07999999999999999,0.156,0.299,0.2445,0.2445,0.2685,0.20210714285714285
1986,0.175,0.08399999999999999,0.3165,0.252,0.10400000000000001,0.4465,0.383,0.216,0.218,0.244,0.23049999999999998,-0.019000000000000017,-0.16350000000000003,0.1595,0.18903571428571428
1987,0.32999999999999996,0.2765,0.5495,0.040999999999999995,0.33999999999999997,0.6105,0.2565,0.4055,0.3205,0.4465,0.0005000000000000004,0.2035,0.3405,0.49849999999999994,0.32996428571428577
1988,0.3385,0.255,0.585,0.188,0.3225,0.391,0.579,0.372,0.39399999999999996,0.3375,0.2835,0.4785,0.10099999999999999,0.257,0.34874999999999995
