Year,China,India,United States of America,Egypt,Italy,World_Total
2000,674355.0,460000.0,168509.0,195444.0,137155.0,1635463.0
2001,734438.0,460000.0,164183.0,180721.0,123537.0,1662879.0
2002,785199.0,458100.0,178557.0,191171.0,122045.0,1735072.0
2003,875126.0,478800.0,167388.0,192976.0,130507.0,1844797.0
2004,885046.0,502800.0,173620.0,195164.0,144973.0,1901603.0
2005,904758.0,505400.0,164280.0,195000.0,138759.0,1908197.0
2006,864595.0,546100.0,169808.0,220110.0,122192.0,1922805.0
2007,903935.0,596000.0,170658.0,225627.0,125299.0,2021519.0
2008,850933.0,566000.0,161940.0,240174.0,115477.0,1934524.0
2009,920803.0,599100.0,176200.0,251838.0,123624.0,2071565.0
2010,951735.0,634400.0,158720.0,216385.0,118822.0,2080062.0
2011,959737.0,865000.0,148850.0,212446.0,103858.0,2289891.0
2012,954012.0,907000.0,152690.0,216395.0,98210.0,2328307.0
2013,985712.0,880000.0,152410.0,205276.0,95191.0,2318589.0
2014,1003388.0,882030.0,163380.0,214016.0,103171.0,2365985.0
2015,1029609.0,767000.0,162980.0,196853.0,107187.0,2263629.0
2016,1046813.0,774000.0,141289.0,184972.0,103940.0,2251014.0
2017,1062508.0,797000.0,125650.0,166206.0,99750.0,2251114.0
2018,1075757.0,789000.0,130270.0,174802.0,97090.0,2266919.0
2019,1091090.0,781000.0,110763.0,174730.0,99020.0,2256603.0
2020,1106605.0,818000.0,110440.0,159668.0,99780.0,2294493.0
2021,1091012.0,845000.0,112180.0,149956.0,102060.0,2300208.0
2022,1095992.0,843000.0,110076.0,157702.0,97610.0,2304380.0
2023,1097452.0,849000.0,121326.0,165870.0,99000.0,2332648.0
2024,1094674.0,853993.0,105988.0,175397.0,102800.0,2332852.0
