Year,China,India,United States of America,Egypt,Italy,World_Total
2000,22324773.3,7430000.0,12622261.0,6785640.0,7538100.0,56700774.3
2001,24116217.14,7240000.0,10958809.0,6328720.0,6387889.0,55031635.14
2002,27153127.09,7462300.0,13466501.0,6777875.0,5750041.0,60609844.09
2003,28842748.88,7616700.0,11423794.0,7140198.0,6651505.0,61674945.879999995
2004,30143937.9,8125600.0,13987702.0,7640818.0,7683071.0,67581128.9
2005,31618471.24,8825400.0,11918268.0,7600000.0,7187014.0,67149153.24
2006,32519324.39,9820400.0,12257172.0,8576070.0,6351202.0,69524168.39
2007,36096890.89,10055000.0,14185180.0,8639024.0,6530162.0,75506256.89
2008,39938712.35,10303000.0,13700670.0,9204097.0,5976912.0,79123391.35
2009,45365541.78,11148800.0,15457480.0,10278539.0,6878161.0,89128521.78
2010,46876084.0,12433200.0,14053000.0,8544993.0,6024800.0,87932077.0
2011,49323221.0,16526000.0,13761700.0,8105263.0,5950215.0,93666399.0
2012,48168616.0,18653000.0,14478750.0,8625219.0,5592301.9,95517886.9
2013,50694136.0,18227000.0,13828580.0,8290551.0,5321249.0,96361516.0
2014,52612141.57,18735910.0,15875000.0,8288043.0,5624244.5,101135339.07
2015,55590329.38,16385000.0,14580440.0,7737827.0,6410248.9,100703845.28
2016,57432108.96,18732000.0,12877049.0,7320714.0,6437571.5,102799443.46000001
2017,59220125.87,20708000.0,11138620.0,6729004.0,6015868.0,103811617.87
2018,61027454.81,19759000.0,12613090.0,6777754.0,5798100.0,105975398.81
2019,62974341.59,19007000.0,10858982.0,6814460.0,5777610.0,105432393.59
2020,61063576.55,20550000.0,10939109.0,6493950.0,6247910.0,105294545.55
2021,61683304.72,21181000.0,10445714.0,6389295.0,6644790.0,106344103.72
2022,61900169.68,20694000.0,10234317.0,6367592.0,6136380.0,105332458.68
2023,61536249.05,20425000.0,12361824.0,7115604.0,6016050.0,107454727.05
2024,61700323.16,21323223.0,10683555.0,7521071.26,6022790.0,107250962.42
