Year,China,India,United States of America,Egypt,Italy,World_Total
2000,33105.4,16152.2,74905.6,34719.1,54960.4,213842.7
2001,32836.3,15739.1,66747.5,35019.3,51708.3,202050.5
2002,34581.2,16289.7,75418.5,35454.5,47114.1,208858.0
2003,32958.4,15907.9,68247.4,37000.4,50966.7,205080.8
2004,34059.2,16160.7,80565.0,39150.8,52996.6,222932.30000000002
2005,34946.9,17462.2,72548.5,38974.4,51794.9,215726.9
2006,37612.2,17982.8,72182.5,38962.7,51977.2,218717.40000000002
2007,39933.1,16870.8,83120.5,38289.0,52116.6,230330.0
2008,46935.2,18203.2,84603.4,38322.6,51758.5,239822.9
2009,49267.4,18609.2,87726.9,40814.1,55637.7,252055.3
2010,49253.3,19598.4,88539.6,39489.8,50704.4,247585.50000000003
2011,51392.4,19105.2,92453.5,38152.1,57291.8,258395.0
2012,50490.6,20565.6,94824.5,39858.7,56942.3,262681.7
2013,51429.0,20712.5,90732.8,40387.3,55900.8,259162.39999999997
2014,52434.5,21241.8,97166.1,38726.3,54513.8,264082.5
2015,53991.7,21362.5,89461.5,39307.6,59804.4,263927.7
2016,54863.8,24201.6,91139.8,39577.4,61935.3,271717.9
2017,55736.2,25982.4,88648.0,40485.9,60309.5,271162.0
2018,56729.8,25043.1,96822.7,38773.9,59718.8,277088.3
2019,57716.9,24336.7,98038.4,39000.0,58347.9,277439.9
2020,55181.0,25122.2,99050.2,40671.6,62616.9,282641.9
2021,56537.7,25066.3,93115.7,42607.7,65106.7,282434.10000000003
2022,56478.7,24548.0,92975.0,40377.3,62866.3,277245.3
2023,56072.0,24057.7,101889.3,42898.7,60768.2,285685.9
2024,56364.1,24968.8,100799.7,42880.3,58587.5,283600.39999999997
